Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
242,6.31,0.0,Sofie DOKTER,19 DEC 2002,NED,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1066,21
242,6.31,-0.1,Audrey KYRIACOU,06 APR 1997,AUS,"Lakeside Stadium, Melbourne (AUS)",24 FEB 2024,1066,26
242,6.31,+0.5,Abbie FRENCH,26 MAR 2004,AUS,"SA Athletic Stadium, Adelaide (AUS)",12 APR 2024,1066,20
242,6.31,+1.1,Ashlee OSAJI,,USA,"Morris Williams T&amp;F Stadium, Durham, NC (USA)",13 APR 2024,1066,
242,6.31,+1.8,Emelia SURCH,29 JUN 2003,AUS,"Performance Centre, Gold Coast (AUS)",26 APR 2024,1066,20
242,6.31,+0.1,Rita NEMES,30 NOV 1989,HUN,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1066,34
242,6.31,+0.6,X&#233;nia KRIZS&#193;N,13 JAN 1993,HUN,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1066,31
242,6.31,+1.4,Laila LACUEY,16 FEB 2000,ESP,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1066,24
242,6.31,0.0,Inna SYDORENKO,21 MAY 1997,UKR,"Stadion SKIF, Lviv (UKR)",29 JUN 2024,1066,27
242,6.31,+0.5,Bhagavathi BHAVANI,19 DEC 1998,IND,"Tau Devi Lal Stadium, Panchkula (IND)",30 JUN 2024,1066,25
242,6.31,+1.1,Diana RUSAKOVA,26 MAY 2001,RUS,"Olympic Stadium, Cheboksary (RUS)",07 JUL 2024,1066,23
254,6.30,0.0,Violetta RAZBEYKO,19 JUN 2003,RUS,"RGUFKSMiT Arena, Moskva (RUS) (i)",23 JAN 2024,1064,20
254,6.30,0.0,Pippi Lotta ENOK,19 AUG 2002,EST,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",26 JAN 2024,1064,21
254,6.30,+1.0,Rohanna SUDLOW,04 AUG 2006,JAM,"Kirani James Athletic Stadium, St. George&#39;s (GRN)",01 APR 2024,1064,17
254,6.30,+0.1,Bente VAN DER STOEL,02 MAR 2003,NED,"Sportpark Orderbos, Apeldoorn (NED)",02 JUN 2024,1064,21
254,6.30,+0.9,Avery LEWIS,21 DEC 2005,USA,"Hayward Field, Eugene, OR (USA)",13 JUN 2024,1064,18
254,6.30,+1.3,Stefanie SCHINDLER,17 JUN 1999,SUI,"Stadion Neufeld, Bern (SUI)",19 JUN 2024,1064,25
254,6.30,+1.1,Romi TAMIR,03 JUL 2003,ISR,"Hadar Yosef Stadium, Tel Aviv (ISR)",27 JUN 2024,1064,20
262,6.29,0.0,Klara BARNJAK,18 SEP 1999,CRO,"Velesajam Hall, Zagreb (CRO) (i)",13 JAN 2024,1062,24
262,6.29,0.0,J&#233;ssica BARREIRA,29 JAN 1997,POR,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",13 JAN 2024,1062,26
262,6.29,0.0,Yousra LAJDOUD,15 OCT 1997,MAR,"Coque Sport Center, Luxembourg (LUX) (i)",21 JAN 2024,1062,26
262,6.29,0.0,Sadie MCMULLEN,,USA,"Convention Center, Albuquerque, NM (USA) (i)",09 FEB 2024,1062,
262,6.29,+1.7,Brittany CARROLL,30 NOV 2000,AUS,"Maitland Athletics Centre, Maitland (AUS)",25 FEB 2024,1062,23
262,6.29,+1.3,Michelle ATHERLEY,09 DEC 1995,USA,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2024,1062,28
262,6.29,+1.1,Sandrina SPRENGEL,12 MAR 2004,GER,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1062,20
262,6.29,-1.1,Małgorzata J&#211;ŹWICKA,03 JUN 2002,POL,"Stadion Zygmunta Szelesta, Warszawa (POL)",02 JUN 2024,1068,21
262,6.29,+0.6,Jadin O&#39;BRIEN,08 MAY 2002,USA,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1062,22
262,6.29,+1.3,Milena MITKOVA,26 JAN 1990,BUL,"Stadium Ivaylo, Veliko Tarnovo (BUL)",30 JUN 2024,1062,34
262,6.29,+1.2,Yuliana ANGULO,06 JUL 1994,ECU,"Besagroup-Sportpark, Rhede (GER)",14 JUL 2024,1062,30
262,6.29,+1.0,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1062,34
262,6.29,0.0,Saliyya GUISSE,08 JUL 1996,BEL,"Stade Pierre Paul Bernard, Talence (FRA)",14 JUL 2024,1062,28
262,6.29,-0.1,Yang YANG,23 AUG 2001,CHN,"Sports Center, Nanping (CHN)",18 JUL 2024,1062,22
262,6.29,-0.5,Vanessa SENA,30 MAY 2005,BRA,"CNDA, Bragan&#231;a Paulista (BRA)",17 AUG 2024,1065,19
262,6.29,+0.1,Gothandapni KARTHIKA,02 JAN 1996,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1062,28
279,6.28,-0.1,Tamara MYERS,27 JUL 1993,BAH,"T. Robinson Stadium, Nassau (BAH)",03 FEB 2024,1060,30
279,6.28,0.0,Veronica CRIDA,21 OCT 2001,ITA,"Palaindoor Ancona, Ancona (ITA) (i)",17 FEB 2024,1060,22
279,6.28,-1.5,Phoebe EDWARDS,16 FEB 1998,NZL,"Newtown Park Stadium, Wellington (NZL)",16 MAR 2024,1069,26
279,6.28,-0.2,. SUSMITA,23 DEC 2004,IND,"Anju Bobby High Performance Centre, Bengaluru (IND)",20 MAR 2024,1061,19
279,6.28,+0.8,Jasmine AKINS,,USA,"Clyde Hart Track &amp; Field Stadium, Waco, TX (USA)",22 MAR 2024,1060,
279,6.28,+0.1,Tess STAPLETON,,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 APR 2024,1060,
279,6.28,+2.0,Erica BOUGARD,26 JUL 1993,USA,"CVEATC, Chula Vista, CA (USA)",02 JUN 2024,1060,30
279,6.28,+0.8,Ma&#235;lly DALMAT,01 OCT 2001,FRA,"Stade Philippides, Montpellier (FRA)",08 JUN 2024,1060,22
279,6.28,+1.7,Taika KOILAHTI,04 DEC 1998,FIN,"Kaarlen kentt&#228;, Vaasa (FIN)",28 JUN 2024,1060,25
279,6.28,+1.2,Vaida PADIMANSKAITĖ,07 AUG 2000,LTU,"Palangos Stadionas, Palanga (LTU)",28 JUN 2024,1060,23
292,6.27,0.0,Klaudia ENDR&#201;SZ,06 FEB 2001,HUN,"BOK Csarnok, Budapest (HUN) (i)",10 FEB 2024,1057,23
292,6.27,+1.4,Camryn NEWTON-SMITH,27 APR 2000,AUS,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",24 FEB 2024,1057,23
